id,geo_name,est_median_rent,moe_median_rent
8600000US01453,ZCTA5_01453,891.00,34.00
8600000US01460,ZCTA5_01460,1351.00,210.00
8600000US01462,ZCTA5_01462,1380.00,144.00
8600000US01463,ZCTA5_01463,871.00,106.00
8600000US01464,ZCTA5_01464,689.00,49.00
8600000US01467,ZCTA5_01467,,
8600000US01468,ZCTA5_01468,957.00,141.00
8600000US01469,ZCTA5_01469,920.00,181.00
8600000US01473,ZCTA5_01473,898.00,287.00
8600000US01474,ZCTA5_01474,1000.00,510.00
8600000US01475,ZCTA5_01475,701.00,178.00
8600000US01501,ZCTA5_01501,813.00,107.00
8600000US01503,ZCTA5_01503,1009.00,656.00
8600000US01504,ZCTA5_01504,868.00,96.00
8600000US01505,ZCTA5_01505,1098.00,316.00
8600000US01506,ZCTA5_01506,753.00,90.00
8600000US01507,ZCTA5_01507,866.00,95.00
8600000US01510,ZCTA5_01510,955.00,75.00
8600000US01515,ZCTA5_01515,645.00,258.00
8600000US01516,ZCTA5_01516,935.00,261.00
8600000US01518,ZCTA5_01518,951.00,152.00
8600000US01519,ZCTA5_01519,1439.00,437.00
8600000US01520,ZCTA5_01520,1127.00,124.00
8600000US01521,ZCTA5_01521,840.00,208.00
8600000US01522,ZCTA5_01522,829.00,113.00
8600000US01523,ZCTA5_01523,1419.00,779.00
8600000US01524,ZCTA5_01524,811.00,84.00
8600000US01525,ZCTA5_01525,883.00,143.00
8600000US01527,ZCTA5_01527,1015.00,102.00
8600000US01529,ZCTA5_01529,925.00,64.00
8600000US01531,ZCTA5_01531,763.00,585.00
8600000US01532,ZCTA5_01532,1676.00,435.00
8600000US01534,ZCTA5_01534,748.00,94.00
8600000US01535,ZCTA5_01535,636.00,35.00
8600000US01536,ZCTA5_01536,833.00,357.00
8600000US01537,ZCTA5_01537,929.00,98.00
8600000US01540,ZCTA5_01540,811.00,139.00
8600000US01541,ZCTA5_01541,723.00,270.00
8600000US01542,ZCTA5_01542,1046.00,198.00
8600000US01543,ZCTA5_01543,871.00,156.00
8600000US01545,ZCTA5_01545,1398.00,96.00
8600000US01550,ZCTA5_01550,778.00,18.00
8600000US01560,ZCTA5_01560,964.00,122.00
8600000US01561,ZCTA5_01561,,
8600000US01562,ZCTA5_01562,719.00,60.00
8600000US01564,ZCTA5_01564,1073.00,185.00
8600000US01566,ZCTA5_01566,894.00,618.00
8600000US01568,ZCTA5_01568,700.00,383.00
8600000US01569,ZCTA5_01569,1058.00,99.00
8600000US01570,ZCTA5_01570,767.00,36.00
8600000US01571,ZCTA5_01571,852.00,139.00
8600000US01581,ZCTA5_01581,1618.00,80.00
8600000US01583,ZCTA5_01583,945.00,33.00
8600000US01585,ZCTA5_01585,762.00,126.00
8600000US01588,ZCTA5_01588,897.00,77.00
8600000US01590,ZCTA5_01590,1063.00,482.00
8600000US01602,ZCTA5_01602,1063.00,63.00
8600000US01603,ZCTA5_01603,908.00,34.00
8600000US01604,ZCTA5_01604,1015.00,39.00
8600000US01605,ZCTA5_01605,930.00,48.00
8600000US01606,ZCTA5_01606,1070.00,84.00
8600000US01607,ZCTA5_01607,937.00,43.00
8600000US01608,ZCTA5_01608,984.00,81.00
8600000US01609,ZCTA5_01609,944.00,32.00
8600000US01610,ZCTA5_01610,928.00,33.00
8600000US01611,ZCTA5_01611,820.00,319.00
8600000US01612,ZCTA5_01612,1072.00,138.00
8600000US01701,ZCTA5_01701,1556.00,92.00
8600000US01702,ZCTA5_01702,1238.00,60.00
8600000US01718,ZCTA5_01718,,
8600000US01719,ZCTA5_01719,1196.00,131.00
8600000US01720,ZCTA5_01720,1397.00,56.00
8600000US01721,ZCTA5_01721,1741.00,331.00
8600000US01730,ZCTA5_01730,1901.00,196.00
8600000US01731,ZCTA5_01731,3132.00,201.00
8600000US01740,ZCTA5_01740,,
8600000US01741,ZCTA5_01741,1115.00,294.00
8600000US01742,ZCTA5_01742,1959.00,180.00
8600000US01745,ZCTA5_01745,1613.00,220.00
8600000US01746,ZCTA5_01746,927.00,274.00
8600000US01747,ZCTA5_01747,1052.00,417.00
8600000US01748,ZCTA5_01748,1771.00,101.00
8600000US01749,ZCTA5_01749,1176.00,112.00
8600000US01752,ZCTA5_01752,1343.00,84.00
8600000US01754,ZCTA5_01754,1038.00,155.00
8600000US01756,ZCTA5_01756,1259.00,565.00
8600000US01757,ZCTA5_01757,1111.00,93.00
8600000US01760,ZCTA5_01760,1466.00,67.00
8600000US01770,ZCTA5_01770,1034.00,182.00
8600000US01772,ZCTA5_01772,1134.00,403.00
8600000US01773,ZCTA5_01773,1645.00,336.00
8600000US01775,ZCTA5_01775,1269.00,196.00
8600000US01776,ZCTA5_01776,1147.00,380.00
8600000US01778,ZCTA5_01778,1259.00,897.00
8600000US01801,ZCTA5_01801,1655.00,49.00
8600000US01803,ZCTA5_01803,1954.00,148.00
8600000US01810,ZCTA5_01810,1562.00,137.00
8600000US01821,ZCTA5_01821,1604.00,102.00
8600000US01824,ZCTA5_01824,1636.00,132.00
8600000US01826,ZCTA5_01826,1297.00,77.00
8600000US01827,ZCTA5_01827,1531.00,272.00
8600000US01830,ZCTA5_01830,989.00,46.00
8600000US01832,ZCTA5_01832,1106.00,55.00
8600000US01833,ZCTA5_01833,1664.00,169.00
8600000US01834,ZCTA5_01834,1230.00,130.00
8600000US01835,ZCTA5_01835,1134.00,78.00
8600000US01840,ZCTA5_01840,813.00,87.00
8600000US01841,ZCTA5_01841,1010.00,37.00
8600000US01843,ZCTA5_01843,1064.00,69.00
8600000US01844,ZCTA5_01844,1112.00,41.00
8600000US01845,ZCTA5_01845,1657.00,91.00
8600000US01850,ZCTA5_01850,1090.00,70.00
8600000US01851,ZCTA5_01851,1187.00,60.00
8600000US01852,ZCTA5_01852,1047.00,46.00
8600000US01854,ZCTA5_01854,937.00,135.00
8600000US01860,ZCTA5_01860,1082.00,138.00
8600000US01862,ZCTA5_01862,1530.00,612.00
8600000US01863,ZCTA5_01863,1205.00,124.00
8600000US01864,ZCTA5_01864,1481.00,501.00
8600000US01867,ZCTA5_01867,1209.00,202.00
8600000US01876,ZCTA5_01876,1777.00,136.00
8600000US01879,ZCTA5_01879,1014.00,255.00
8600000US01880,ZCTA5_01880,1339.00,104.00
8600000US01886,ZCTA5_01886,1877.00,421.00
8600000US01887,ZCTA5_01887,2006.00,212.00
8600000US01890,ZCTA5_01890,1972.00,267.00
8600000US01901,ZCTA5_01901,865.00,50.00
8600000US01902,ZCTA5_01902,1124.00,43.00
8600000US01904,ZCTA5_01904,1237.00,71.00
8600000US01905,ZCTA5_01905,1048.00,52.00
8600000US01906,ZCTA5_01906,878.00,84.00
8600000US01907,ZCTA5_01907,1737.00,130.00
8600000US01908,ZCTA5_01908,1371.00,44.00
8600000US01913,ZCTA5_01913,1082.00,96.00
8600000US01915,ZCTA5_01915,1195.00,74.00
8600000US01921,ZCTA5_01921,,
8600000US01922,ZCTA5_01922,769.00,592.00
8600000US01923,ZCTA5_01923,1430.00,78.00
8600000US01929,ZCTA5_01929,1205.00,326.00
8600000US01930,ZCTA5_01930,1079.00,46.00
8600000US01937,ZCTA5_01937,,
8600000US01938,ZCTA5_01938,1147.00,80.00
8600000US01940,ZCTA5_01940,1749.00,184.00
8600000US01944,ZCTA5_01944,1390.00,122.00
8600000US01945,ZCTA5_01945,1438.00,257.00
8600000US01949,ZCTA5_01949,1611.00,679.00
8600000US01950,ZCTA5_01950,1230.00,112.00
8600000US01951,ZCTA5_01951,,
8600000US01952,ZCTA5_01952,1251.00,197.00
8600000US01960,ZCTA5_01960,1375.00,101.00
8600000US01966,ZCTA5_01966,1343.00,182.00
8600000US01969,ZCTA5_01969,1337.00,254.00
8600000US01970,ZCTA5_01970,1193.00,62.00
8600000US01982,ZCTA5_01982,1155.00,73.00
8600000US01983,ZCTA5_01983,843.00,661.00
